Spieler,Klub,Alter,Position,Nationalität
J. von Moos,Servette FC,23,Stürmer,Schweiz / Brasilien
,,,,
D. von Ballmoos,BSC Young Boys,30,Torhüter,Schweiz
,,,,
F. van Breemen,FC Basel 1893,21,Verteidiger,Niederlande
,,,,
Gonçalo Esteves,Yverdon Sport FC,20,Verteidiger,Portugal
,,,,
K. de la Fuente,FC Lausanne-Sport,23,Stürmer,USA
,,,,
F. de Carvalho,Grasshopper Club Zürich,21,Mittelfeldspieler,Schweiz / Portugal
,,,,
J. Zé,FC Basel 1893,18,Mittelfeldspieler,Schweiz / Kamerun
,,,,
L. Zuffi,FC Winterthur,34,Mittelfeldspieler,Schweiz
,,,,
S. Zuber,FC Zürich,33,Mittelfeldspieler,Schweiz
,,,,
T. Zoukrou,BSC Young Boys,21,Verteidiger,Frankreich / Elfenbeinküste
,,,,
L. Zigi,FC St.Gallen 1879,28,Torhüter,Ghana
,,,,
R. Ziegler,FC Sion,39,Verteidiger,Schweiz
,,,,
M. Zanotti,FC Lugano,22,Verteidiger,Italien
,,,,
N. Yannick,FC St.Gallen 1879,20,Verteidiger,Kamerun
,,,,
T. Xhaka,FC Basel 1893,33,Mittelfeldspieler,Albanien / Schweiz
,,,,
C. Witzig,FC St.Gallen 1879,24,Mittelfeldspieler,Schweiz
,,,,
L. Winkler,FC Luzern,21,Mittelfeldspieler,Schweiz
,,,,
L. Watkowiak,FC St.Gallen 1879,28,Torhüter,Deutschland
,,,,
M. Walker,FC Luzern,20,Mittelfeldspieler,Schweiz
,,,,
M. Vukelic,FC Zürich,21,Verteidiger,Schweiz
,,,,
D. Vujevic,FC Zürich,18,Verteidiger,Schweiz
,,,,
N. Vouilloz,FC Basel 1893,23,Verteidiger,Schweiz
,,,,
N. Volken,FC Zürich,17,Verteidiger,Schweiz
,,,,
A. Vogt,FC St.Gallen 1879,20,Stürmer,Schweiz
,,,,
S. Vladi,FC Lugano,24,Stürmer,Kosovo / Schweiz
,,,,
A. Virginius,BSC Young Boys,22,Stürmer,Frankreich
,,,,
L. Villiger,FC Luzern,21,Stürmer,Schweiz
,,,,
T. Verón Lupi,Grasshopper Club Zürich,24,Stürmer,Argentinien / Italien
,,,,
A. Vasovic,FC Luzern,17,Stürmer,Schweiz / Serbien
,,,,
V. Vasic,FC Luzern,34,Torhüter,Serbien / Schweiz
,,,,
H. Vandermersch,FC St.Gallen 1879,25,Verteidiger,Frankreich
,,,,
A. Vallci,FC St.Gallen 1879,29,Verteidiger,Österreich
,,,,
M. Valenzuela,FC Lugano,26,Verteidiger,Argentinien / USA
,,,,
D. Ulrich,FC Winterthur,26,Mittelfeldspieler,Schweiz
,,,,
F. Ugrinic,BSC Young Boys,26,Mittelfeldspieler,Schweiz / Serbien
,,,,
T. Turhan,Grasshopper Club Zürich,17,Stürmer,Schweiz
,,,,
K. Tsunemoto,Servette FC,26,Verteidiger,Japan
,,,,
E. Tsimba,BSC Young Boys,18,Stürmer,Schweiz
,,,,
C. Tsawa,FC Zürich,18,Mittelfeldspieler,Schweiz
,,,,
B. Traoré,FC Basel 1893,22,Stürmer,Elfenbeinküste
,,,,
B. Toma,FC St.Gallen 1879,25,Mittelfeldspieler,Schweiz
,,,,
M. Tijani,Yverdon Sport FC,27,Verteidiger,Benin / Elfenbeinküste
,,,,
S. Tavares,Yverdon Sport FC,18,Verteidiger,Schweiz / Portugal
,,,,
V. Tasar,Yverdon Sport FC,28,Stürmer,Deutschland / Türkei
,,,,
K. Sène,FC Lausanne-Sport,23,Stürmer,Senegal
,,,,
F. Sylla,Yverdon Sport FC,18,Mittelfeldspieler,Frankreich / Guinea
,,,,
S. Stroscio,Grasshopper Club Zürich,21,Mittelfeldspieler,Schweiz / Italien
,,,,
B. Stillhart,FC Winterthur,30,Mittelfeldspieler,Schweiz
,,,,
M. Stevanovic,Servette FC,34,Mittelfeldspieler,Bosnien-Herzegowina / Serbien
,,,,
M. Stevanovic,FC St.Gallen 1879,23,Mittelfeldspieler,Serbien / Schweiz
,,,,
R. Steffen,FC Lugano,33,Mittelfeldspieler,Schweiz
,,,,
A. Stankovic,FC Luzern,19,Mittelfeldspieler,Serbien / Slowenien
,,,,
J. Stanic,FC St.Gallen 1879,25,Verteidiger,Kroatien / Deutschland
,,,,
L. Srdanovic,Servette FC,18,Verteidiger,Schweiz
,,,,
T. Spycher,FC Basel 1893,20,Torhüter,Schweiz
,,,,
A. Spagnoli,FC Winterthur,19,Torhüter,Schweiz / Italien
,,,,
K. Spadanuda,FC Luzern,28,Mittelfeldspieler,Schweiz / Italien
,,,,
N. Sow,FC Sion,26,Verteidiger,Frankreich / Senegal
,,,,
K. Sow,FC Lausanne-Sport,21,Verteidiger,Schweiz / Senegal
,,,,
M. Soticek,FC Basel 1893,20,Mittelfeldspieler,Kroatien
,,,,
D. Sorgic,FC Sion,35,Stürmer,Serbien / Schweiz
,,,,
R. Smith,BSC Young Boys,18,Verteidiger,Schweiz
,,,,
Romário Baró,FC Basel 1893,25,Mittelfeldspieler,Portugal / Guinea-Bissau
,,,,
G. Sigua,FC Basel 1893,19,Mittelfeldspieler,Georgien
,,,,
S. Sidler,FC Winterthur,26,Verteidiger,Schweiz
,,,,
X. Shaqiri,FC Basel 1893,33,Mittelfeldspieler,Schweiz / Kosovo
,,,,
Y. Severin,Servette FC,28,Verteidiger,Frankreich
,,,,
M. Senaya,FC Lausanne-Sport,24,Verteidiger,Frankreich / Togo
,,,,
A. Seko,Grasshopper Club Zürich,24,Verteidiger,Japan
,,,,
L. Seji,Grasshopper Club Zürich,20,Torhüter,Schweiz
,,,,
M. Seiler,BSC Young Boys,19,Verteidiger,Schweiz / Finnland
,,,,
P. Schürpf,Grasshopper Club Zürich,35,Mittelfeldspieler,Schweiz
,,,,
T. Schättin,FC Winterthur,27,Verteidiger,Schweiz
,,,,
